"browser","browserVersion","countryCode","device","flowType","message","os","osVersion","satisfactionLevel","screenName","site","uniqueIndex","when","windowHeight","windowWidth"
"Mobile Safari","11.0.0","de","phone","direct","","iOS","11.0.3","3","cardForm","MLB","308376","2018-03-23 15:30:07","537","375"
"Chrome Mobile iOS","65.0.5","br","phone","direct","","iOS","11.2.6","3","singleShippingOptionsSelection","MLB","308375","2018-03-23 15:29:33","492","320"
"Facebook","164.0.0","br","phone","direct","Ótima ","Android","7.0.0","4","singleShippingOptionsSelection","MLB","308374","2018-03-23 15:29:20","660","412"
"Chrome Mobile","64.0.2","br","phone","direct","Ate agora excelente! 
","Android","4.2.2","3","userIdentification","MLB","308373","2018-03-23 15:29:11","343","360"
"Chrome Mobile","65.0.5","br","phone","direct","","Android","6.0.1","3","singleShippingOptionsSelection","MLB","308372","2018-03-23 15:28:48","511","360"
"Chrome","65.0.5","br","desktop","direct","","Windows","","3","singleShippingOptionsSelection","MLB","308371","2018-03-23 15:28:48","889","1280"
"Chrome Mobile","65.0.5","br","phone","direct","","Android","6.0.0","2","newAddress","MLB","308370","2018-03-23 15:28:16","514","360"
"Chrome Mobile","65.0.5","br","phone","direct","","Android","6.0.1","3","singleShippingOptionsSelection","MLB","308369","2018-03-23 15:27:50","511","360"
"Mobile Safari","11.0.0","br","phone","direct","Era pra frete grátis a partir de 90,00 segundo meus pontos ","iOS","11.2.6","1","singleShippingOptionsSelection","MLB","308368","2018-03-23 15:27:31","553","375"
"Chrome Mobile","65.0.5","br","phone","direct","Otima","Android","7.0.0","4","securityCodestoredCardSecurityCode","MLB","308367","2018-03-23 15:27:26","652","412"
"Chrome Mobile","65.0.5","br","phone","direct","Não estou conseguindo comprar
","Android","8.0.0","1","newAddress","MLB","308366","2018-03-23 15:27:24","512","360"
"Chrome Mobile","65.0.5","br","phone","direct","Até o momento ta bom","Android","6.0.0","3","newAddress","MLB","308365","2018-03-23 15:27:20","514","360"
"Facebook","164.0.0","br","phone","direct","","Android","7.1.1","4","newAddress","MLB","308364","2018-03-23 15:27:20","568","360"
"Chrome Mobile","65.0.5","br","phone","direct","","Android","6.0.0","4","singleShippingOptionsSelection","MLB","308363","2018-03-23 15:27:15","518","360"
"Chrome Mobile","56.0.4","br","phone","direct","Fiz uma compra, não recibo o produto e não obtive nenhum comunicado até hoje. A compra foi realizada no dia 17/03/18, o pagamento foi efetuado por meio de boleto. Aguardo uma resposta. ","Android","6.0.1","1","payments","MLB","308362","2018-03-23 15:27:07","616","360"
"Chrome Mobile","65.0.5","br","phone","direct","","Android","6.0.0","3","newAddress","MLB","308361","2018-03-23 15:26:42","512","360"
"Facebook","154.0.0","br","phone","direct","","Android","6.0.0","3","newAddress","MLB","308360","2018-03-23 15:26:38","520","360"
"Chrome Mobile","65.0.5","br","phone","direct","Muito bom
","Android","5.1.0","4","newAddress","MLB","308359","2018-03-23 15:26:30","511","360"
"Facebook","163.0.0","br","phone","direct","","Android","7.0.0","4","singleShippingOptionsSelection","MLB","308358","2018-03-23 15:26:26","520","360"
"Chrome Mobile","65.0.5","br","phone","direct","Muito boa!","Android","7.1.1","3","cardForm","MLB","308357","2018-03-23 15:26:05","568","360"
"Chrome Mobile","57.0.7","br","phone","direct","","Android","7.1.1","3","cardForm","MLB","308356","2018-03-23 15:25:45","568","360"
"Chrome Mobile","65.0.5","br","phone","direct","Nao gosto muito de compra nao","Android","6.0.1","2","newAddress","MLB","308355","2018-03-23 15:25:27","560","360"
"Chrome Mobile","55.0.3","br","phone","direct","gostei","Android","5.1.1","3","newAddress","MLB","308354","2018-03-23 15:25:20","559","360"
"Chrome Mobile","64.0.2","br","phone","direct","Boa","Android","6.0.0","3","newAddress","MLB","308353","2018-03-23 15:25:19","512","360"
"Opera","51.0.0","br","desktop","direct","","Windows","","0","singleShippingOptionsSelection","MLB","308352","2018-03-23 15:25:11","970","1880"
"Chrome Mobile","65.0.5","br","phone","direct","","Android","5.0.2","4","userIdentification","MLB","308351","2018-03-23 15:25:02","281","360"
"Chrome Mobile","65.0.5","br","phone","direct","","Android","5.1.0","3","newAddress","MLB","308350","2018-03-23 15:24:58","511","360"
"Chrome Mobile","65.0.5","br","phone","direct","","Android","7.1.1","4","singleShippingOptionsSelection","MLB","308349","2018-03-23 15:24:35","512","360"
"Chrome Mobile","65.0.5","br","phone","direct","","Android","6.0.1","2","newAddress","MLB","308348","2018-03-23 15:24:14","560","360"
"Mobile Safari","11.0.0","br","phone","direct","Achei rápido e descomplicado.","iOS","11.2.6","3","congrats","MLB","308347","2018-03-23 15:24:09","622","414"
"Firefox","59.0.0","br","desktop","direct","","Windows","","2","singleShippingOptionsSelection","MLB","308346","2018-03-23 15:24:00","718","1331"
"Mobile Safari","11.0.0","br","phone","direct","Bem legal.","iOS","11.2.6","3","singleShippingOptionsSelection","MLB","308345","2018-03-23 15:23:45","553","375"
"Chrome Mobile","40.0.4","br","phone","direct","Gostei ","Android","4.4.2","3","userIdentification","MLB","308344","2018-03-23 15:23:37","471","320"
"Mobile Safari","11.0.0","br","phone","direct","","iOS","11.2.6","3","newAddress","MLB","308343","2018-03-23 15:23:23","622","414"
"Chrome Mobile","65.0.5","br","phone","direct","","Android","7.0.0","2","securityCodestoredCardSecurityCode","MLB","308342","2018-03-23 15:23:23","568","360"
"Chrome Mobile","65.0.5","br","phone","direct","","Android","7.0.0","2","payments","MLB","308341","2018-03-23 15:23:15","616","360"
"Chrome Mobile","38.0.5","br","phone","direct","","Android","5.1.1","4","singleReview","MLB","308340","2018-03-23 15:23:13","511","360"
"Chrome Mobile","65.0.5","br","phone","direct","","Android","7.1.1","3","userIdentification","MLB","308339","2018-03-23 15:23:10","568","360"
"IE","11.0.0","br","desktop","direct","TUDO DE BOM...","Windows","","4","congrats","MLB","308338","2018-03-23 15:22:46","503","1088"
"Chrome Mobile","65.0.5","br","phone","direct","Ola gostei muito dos produtos so gostaria de falar com o vendedor","Android","6.0.1","4","congrats","MLB","308337","2018-03-23 15:22:25","560","360"
"Chrome Mobile","64.0.2","br","phone","direct","Normal","Android","7.0.0","2","newAddress","MLB","308336","2018-03-23 15:22:05","517","360"
"Chrome","64.0.2","br","desktop","direct","","Windows","8.1.0","3","singleShippingOptionsSelection","MLB","308335","2018-03-23 15:21:50","662","1366"
"Chrome Mobile","65.0.5","br","phone","direct","","Android","7.0.0","4","cardForm","MLB","308334","2018-03-23 15:21:46","620","362"
"Chrome Mobile","65.0.5","br","phone","direct","Excelente","Android","7.0.0","4","singleShippingOptionsSelection","MLB","308333","2018-03-23 15:21:45","512","360"
"Chrome Mobile","63.0.9","br","phone","direct","Gostei","Android","4.4.4","3","securityCodestoredCardSecurityCode","MLB","308332","2018-03-23 15:21:44","615","360"
"Chrome Mobile","55.0.3","br","phone","direct","","Android","5.1.1","3","newAddress","MLB","308331","2018-03-23 15:21:30","559","360"
"Facebook","164.0.0","br","phone","direct","","Android","5.1.1","4","singleShippingOptionsSelection","MLB","308330","2018-03-23 15:21:28","263","320"
"Mobile Safari","11.0.0","br","phone","direct","Boa ","iOS","11.2.6","4","congrats","MLB","308329","2018-03-23 15:21:03","544","375"
"Chrome Mobile","65.0.5","br","phone","direct","","Android","6.0.0","4","addressReviewStepnewAddress","MLB","308328","2018-03-23 15:20:58","512","360"
"Chrome Mobile","65.0.5","br","phone","direct","Nnnn","Android","6.0.1","3","StoredCardinstallments","MLB","308327","2018-03-23 15:20:36","560","360"
"Chrome Mobile","65.0.5","br","phone","direct","","Android","5.1.0","0","newAddress","MLB","308326","2018-03-23 15:20:08","511","360"
"Chrome Mobile","65.0.5","br","phone","direct","Ótimo ","Android","6.0.1","3","securityCodestoredCardSecurityCode","MLB","308325","2018-03-23 15:20:07","616","360"
"Chrome Mobile","65.0.5","br","phone","direct","","Android","4.2.2","4","cardForm","MLB","308324","2018-03-23 15:20:02","567","360"
"Mobile Safari","11.0.0","br","phone","direct","Não consigo finalizar","iOS","11.2.6","1","cardForm","MLB","308323","2018-03-23 15:19:51","537","375"
"Chrome Mobile","51.0.4","br","phone","direct","","Android","5.1.0","3","securityCodestoredCardSecurityCode","MLB","308322","2018-03-23 15:19:47","615","360"
"Chrome Mobile","65.0.5","br","phone","direct","","Android","5.1.1","4","newAddress","MLB","308321","2018-03-23 15:19:37","440","320"
"Chrome Mobile","65.0.5","br","phone","direct","","Android","6.0.1","3","congrats","MLB","308320","2018-03-23 15:19:32","560","360"
"Chrome Mobile","65.0.5","br","phone","direct","Gosto de comprar no mercado livre","Android","4.2.2","4","cardForm","MLB","308319","2018-03-23 15:19:27","567","360"
"Facebook","164.0.0","br","phone","direct","Nao gostei
Antes era mais pratici e rápido pra fechar a compra.
Nao gostei","Android","6.0.1","4","payments","MLB","308318","2018-03-23 15:19:25","568","360"
"Chrome Mobile","65.0.5","br","phone","direct","Queria essas peças urgente ! Teria como 
","Android","6.0.1","3","singleShippingOptionsSelection","MLB","308317","2018-03-23 15:19:10","560","360"
"Chrome Mobile","65.0.5","br","phone","direct","","Android","6.0.1","3","newAddress","MLB","308316","2018-03-23 15:18:58","560","360"
"Chrome Mobile","65.0.5","br","phone","direct","","Android","5.0.2","3","securityCodestoredCardSecurityCode","MLB","308315","2018-03-23 15:18:38","616","360"
"Chrome Mobile","63.0.9","br","phone","direct","","Android","5.0.2","3","userIdentification","MLB","308314","2018-03-23 15:18:33","338","360"
"Chrome Mobile","65.0.5","br","phone","direct","","Android","6.0.1","3","securityCodestoredCardSecurityCode","MLB","308313","2018-03-23 15:18:26","616","360"
"Chrome Mobile","63.0.9","br","phone","direct","Tudo que comprei chegiu no prazo e com a qualidade que esoerava","Android","5.0.2","3","securityCodestoredCardSecurityCode","MLB","308312","2018-03-23 15:18:16","616","360"
"Chrome Mobile","65.0.5","br","phone","direct","faz mas de 2 anos que compro no mercado livre grasas a Deus a te agora tudo ok espero continua assim","Android","6.0.1","4","StoredCardinstallments","MLB","308311","2018-03-23 15:17:55","560","360"
"Mobile Safari","11.0.0","br","phone","direct","Prático e rápido. Preço bom","iOS","11.2.6","4","congrats","MLB","308310","2018-03-23 15:17:52","537","375"
"Chrome Mobile","64.0.2","br","phone","direct","","Android","5.1.1","3","cardForm","MLB","308309","2018-03-23 15:17:49","560","360"
"Mobile Safari","11.0.0","br","phone","direct","","iOS","11.2.6","3","singleShippingOptionsSelection","MLB","308308","2018-03-23 15:17:42","553","375"
"Mobile Safari","11.0.0","br","phone","direct","Ótimo ","iOS","11.2.6","3","securityCodestoredCardSecurityCode","MLB","308307","2018-03-23 15:17:41","553","375"
"Chrome Mobile","65.0.5","br","phone","direct","","Android","6.0.1","3","securityCodestoredCardSecurityCode","MLB","308306","2018-03-23 15:17:39","616","360"
"Chrome Mobile","64.0.2","br","phone","direct","","Android","5.1.1","4","cardForm","MLB","308305","2018-03-23 15:17:36","560","360"
"Facebook","164.0.0","br","phone","direct","","Android","6.0.1","1","securityCodestoredCardSecurityCode","MLB","308304","2018-03-23 15:17:12","568","360"
"Chrome Mobile","64.0.2","br","phone","direct","","Android","5.1.0","0","singleShippingOptionsSelection","MLB","308303","2018-03-23 15:16:57","440","320"
"Chrome Mobile","65.0.5","br","phone","direct","Está sendo muito bom","Android","7.1.1","3","newAddress","MLB","308302","2018-03-23 15:16:45","512","360"
"Facebook","164.0.0","br","phone","direct","","Android","6.0.1","4","securityCodestoredCardSecurityCode","MLB","308301","2018-03-23 15:16:43","568","360"
"Chrome Mobile","64.0.2","br","phone","direct","","Android","4.4.4","3","singleShippingOptionsSelection","MLB","308300","2018-03-23 15:16:43","511","360"
"Chrome Mobile","65.0.5","br","phone","direct","Até agora tudo normal 
","Android","6.0.0","4","userIdentification","MLB","308299","2018-03-23 15:16:42","355","360"
